Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
